original_local_path,canonical_destination,sha256,artifact_type,associated_experiment_run,provenance_confidence,import_rationale
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US11326847B1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US11326847B1.html,deab02af98eb8b8360a197a727cb05c0d097e09d3a506547e7210692f3bc4808,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US11326847B1.body.txt,experiments/BC001/EXP-011/source-extracts/US11326847B1.body.txt,80aef90b6c4e2fc9d853738409028110d8e4f826704ef36c7e2fd7117b0fd233,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US11792283B2.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US11792283B2.html,ba70627312401f4bac7777b6e931c4ab8a2d81249c9ba03138f8a1725c9d9149,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US11792283B2.body.txt,experiments/BC001/EXP-011/source-extracts/US11792283B2.body.txt,5111a9b7308f70bb4674a40cc23e0bad6149a22903a7f5d24e8ebece0c07f9fd,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US12298094B2.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US12298094B2.html,d600e1443506e8f53a93bd57f78cf8036cdbb5ab6de4f4dddd3cff47cd2316f4,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US12298094B2.body.txt,experiments/BC001/EXP-011/source-extracts/US12298094B2.body.txt,51b6f722d407e0e7fe9e4e434934528c0ff8b8d002bedf26858a63edcdc8f6a0,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20110056108A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20110056108A1.html,352de58e6e2c9b608965ef46a139d2983bf3f896a67bc505f62181e572f63c2b,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20110056108A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20110056108A1.body.txt,94ad454d2678ef9a6ef35761b6111ad0f78b5a6ed3482975a84f02557f2e93f8,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20120097718A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20120097718A1.html,7d9d5fcbb548f58171897ce721c387d773f157122657ed47ee6e7209a805b062,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20120097718A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20120097718A1.body.txt,6311f0d2283e573688eb02c3aaeaaae1848e21206d811355b86fcc7f7114deda,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20140259847A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20140259847A1.html,d346dfee6990e96f97abe628b145157d32cb10841ae9aa29ee58bd5fbdd50fad,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20140259847A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20140259847A1.body.txt,65d72a10255e32130f25c519e1c96b969c47ea42e911ce9aed690526b6f803d2,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20170160030A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20170160030A1.html,0158912bd08f64fe983c388c9ff0cef476b5e71fb75a9fa3454c54834b1ec957,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20170160030A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20170160030A1.body.txt,61bcfae6bbab719d6eeb3de444c31ad777d1156edf77c997da920fa7277252c1,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20170248383A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20170248383A1.html,e9fb71276c624a380a4d02cccc0eb36b1f973a65cf267dbaaf03789a842bca98,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20170248383A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20170248383A1.body.txt,ac5f48c1c30c5057aa769029de97d1e5e37cf842e2b09c377c9572406995e53e,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20180149440A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20180149440A1.html,8282c21dcf5160d81666558f6477e5bc37f7585edd6c9db2014ddae61a9560a4,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20180149440A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20180149440A1.body.txt,812daad4ef4e7981593e8f58241caef9be674b56002b2bbe86af9fd06daa3af1,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20180313626A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20180313626A1.html,131ba7dd1af399820a8519a9cedb7f2abdaf0cf63f044639508eb1d8745919b1,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20180313626A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20180313626A1.body.txt,67d185877c83a9993eb276e4f7b570d84eb3beaaaf593d8e355d0963802b4677,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20210080208A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20210080208A1.html,779c341b5d9c735f9023b42704395d615a691b9160aa49818268f09e8f4984e4,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20210080208A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20210080208A1.body.txt,57d7d87fec8c0d35c245326872d319d6a524432fe5d362124e61f9fedb4d0a65,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20240384959A1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US20240384959A1.html,fb01de076f836dfb18c32619a0c3e0bf9aedf0b7e402375cfdbc6ae66b26fd49,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US20240384959A1.body.txt,experiments/BC001/EXP-011/source-extracts/US20240384959A1.body.txt,e3cc4ad01bc71f0bbab9a9ff579567fad7cdfe6d1e86c65415569e4ec4e09b70,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US5202523A.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US5202523A.html,57ffe6ec8f2de49bed200aca7bf825be39a4136b3aa7a7a27a13e524103287fc,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US5202523A.body.txt,experiments/BC001/EXP-011/source-extracts/US5202523A.body.txt,e37ed0c417fdb6a1129944d4a1b8f0133dba7082363af12770b64c9306b47075,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US6276581B1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US6276581B1.html,117ebe50601e4d370f8714a516da7d68f8259b3cc14ab73c4246bdf1a9cf2b53,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US6276581B1.body.txt,experiments/BC001/EXP-011/source-extracts/US6276581B1.body.txt,e84a50e44c0b95aac2f6377bfc41a7c8d54622c40eb00bd817e9b77c4bdd1013,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US6415542B1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US6415542B1.html,5aa8e8d4aa86e1047165c0dab92a1c2f11cc4f65db19afc946557ed699f7fc65,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US6415542B1.body.txt,experiments/BC001/EXP-011/source-extracts/US6415542B1.body.txt,c6df19cbc3fc6231e4dda291a738ef616604ca691b27415e5b2e0c9122ec9b37,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US9459072B2.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US9459072B2.html,5955d88c58b84023a965b1127cb3527a012baa0d6eadb59a2ee57df4c42e82f3,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US9459072B2.body.txt,experiments/BC001/EXP-011/source-extracts/US9459072B2.body.txt,3f927329b22510aed65464a40b3f0e3781fea8fbc2c85cb738c644ba6727f5d2,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
